runIndex,seedKey,studyCondition,controllerMode,organizationMode,scheduleId,scheduleStartGen,scheduleDuration,scheduleAmplitude,generationLimit,measurementInterval,worldPreset,cols,rows,generation,density,inK,timeInKFraction,cumulativeDistanceOutsideK,recoveries,meanAbsDensityError,interventionRate,coordinationBandwidthProxy,ultraProbeCount,ultraKeptCount,ultraRevertedCount,lastUltraOutcome,lastUltraGeneration,stableEpisodeLength,lastUltraMinPop,lastUltraDeltaPop,rule,w
0,167837697,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.16087962962962962,true,1,0,0,0.045514301765665725,0.0012413194444444444,0,0,0,0,,,200,,,B3/S23,0
1,167837698,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.19039351851851852,true,0.995,0.0037962962962962976,0,0.04488042730015437,0.0011342592592592593,0,0,0,0,,,200,,,B3/S23,0
2,167837699,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.2204861111111111,true,1,0,0,0.04951222338097149,0.002265625,0,0,0,0,,,200,,,B3/S23,0
3,167837700,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.19328703703703703,true,0.995,0.02,0,0.04922854567086784,0.002042824074074074,0,0,0,0,,,200,,,B3/S23,0
4,167837701,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.17708333333333334,true,1,0,0,0.05446911455499745,0.0017592592592592592,0,0,0,0,,,200,,,B3/S23,0
5,167837702,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.1574074074074074,true,0.995,0.02,0,0.05171824680274437,0.0022395833333333334,0,0,0,0,,,200,,,B3/S23,0
6,167837703,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.17997685185185186,true,0.995,0.019421296296296298,0,0.04850549483431915,0.002560763888888889,0,0,0,0,,,200,,,B3/S23,0
7,167837704,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.1875,true,0.995,0.004375,0,0.04671775184934634,0.0014438657407407408,0,0,0,0,,,200,,,B3/S23,0
8,167837705,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.19039351851851852,true,0.995,0.012476851851851854,0,0.05032938341415507,0.002853009259259259,0,0,0,0,,,200,,,B3/S23,0
9,167837706,homeostatic,SetpointError,Central,pulse,40,30,0.55,200,0,homeostat,48,36,200,0.19733796296296297,true,1,0,0,0.05150476919092819,0.002120949074074074,0,0,0,0,,,200,,,B3/S23,0
